caption_id,caption_text,make,model,year_text,from_year,to_year,complete_bodytype,doors,body_type,series,badge,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO555,ALFA ROMEO 33 4 DR SEDAN 05/84 - 07/90,ALFA ROMEO,33,05/84 - 07/90,1984,1990,4DR SEDAN,4,SEDAN,,,AO555 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO555-1,ALFA ROMEO 33 5 DR WAGON 05/84 - 07/90,ALFA ROMEO,33,05/84 - 07/90,1984,1990,4DR SEDAN,5,WAGON,,,AO555 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO555-2,ALFA ROMEO 33 5 DR HATCH 05/84 - 07/90,ALFA ROMEO,33,05/84 - 07/90,1984,1990,5DR HATCH,5,HATCH,,,AO555 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO556,ALFA ROMEO 33 5 DR HATCH BACK 08/90 - ~~/92,ALFA ROMEO,33,08/90 - ~~/92,1990,1992,5DR HATCH,5,HATCH,,,AO556 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO686,ALFA ROMEO 75 4 DR SEDAN 10/85 - ~~/92,ALFA ROMEO,75,10/85 - ~~/92,1985,1992,4DR SEDAN,4,SEDAN,,,AO686 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO637,ALFA ROMEO 90 4 DR SEDAN 06/85 - 04/88,ALFA ROMEO,90,06/85 - 04/88,1985,1988,4DR SEDAN,4,SEDAN,,,AO637 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO147,ALFA ROMEO 147 3/5 DOOR 09/00 - 08/04,ALFA ROMEO,147,09/00 - 08/04,2000,2004,3DR HATCH,3,HATCH,,,AO147 LFW,AO147 LFW/R,AO147 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO147-1,ALFA ROMEO 147 5 DOOR 09/00 - 08/04,ALFA ROMEO,147,09/00 - 08/04,2000,2004,5DR HATCH,5,HATCH,,,AO147 LFW,AO147 LFW/R,AO147 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO008,ALFA ROMEO 156 4 DR SEDAN & 5 DR WAGON 02/99 - 05/06,ALFA ROMEO,156,10/03 - 05/06,2003,2006,4DR SEDAN,4,SEDAN,,,AO008 LFW,AO008 LFW/MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO008-1,ALFA ROMEO 156 4 DR SEDAN & 5 DR WAGON 02/99 - 05/06,ALFA ROMEO,156,10/03 - 05/06,2003,2006,5DR HATCH,5,HATCH,,,AO008 LFW,AO008 LFW/MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
